ID:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
3,uc_email,varchar(50),NEM,"A feladó kapcsolattartó személy emailes elérhetősége. Kitöltés esetén min: 6, max: 50 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,uc_ceg_nev,varchar(50),IGEN,"A feladó cég neve. (Magánszemély esetén, személynév.) Min: 2, max: 50 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,uc_ceg_cim_iranyito,varchar(4),IGEN,A feladó címének irányítószáma. 4 szám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,uc_ceg_cim_telepules,varchar(40),IGEN,"A feladó címének településneve. Min: 2, max: 40 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,uc_ceg_cim_orszag,varchar(3),IGEN,A feladó címének országkódja. Magyarország esetén 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,uc_ceg_cim_kozterulet,varchar(60),IGEN,"A feladó címének közterület elnevezése, házszáma, lépcsőház, emelet, ajtó és egyéb meghatározásai. Min: 2, max: 60 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,uc_ceg_cim_megjegyzes,varchar(100),NEM,"A feladó címéhez tartozó megjegyzés. Kitöltés esetén min: 2, max: 100 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,uc_ceg_adoszam,varchar(27),NEM,A feladó cég adószáma. Kitöltés esetén 13 karakter [12345678-1-12] vagy csoportos adószám esetén 27 karakter [12345678-4-12 87654321-5-12] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,uc_ceg_bankszamlaszam,varchar(26),NEM,A feladó cég adószáma. Kitöltés esetén 8 szám – (kötőjel) 8 szám (és amennyiben szükséges – (kötőjel) 8 szám [12345678-12345678] vagy [12345678-12345678-12345678],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ucc_ugyfelkod,varchar(4),NEM,"Érvényes PXP ügyfélkód [MINT], kitöltés esetén 4 karakter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ucc_nev,varchar(30),NEM,"A címzett kapcsolattartó személy neve. Kitöltés esetén min: 2, max: 30 karakter ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ucc_tel,varchar(20),NEM,"A címzett kapcsolattartó személy telefonos elérhetősége. Kitöltés esetén min: 6, max: 20 karakter ",,,,,,,,Amennyiben SMS értesítést kér (szl_sms = 1) az itt megadott számra küldi a rendszer az értesítőt a kiszállításról.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ucc_email,varchar(50),NEM,"A címzett kapcsolattartó személy emailes elérhetősége. Kitöltés esetén min: 6, max: 50 karakter ",,,,,,,,Az itt megadott email címre küldi a rendszer az értesítőt a kiszállításról.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ucc_ceg_nev,varchar(50),IGEN,"A címzett cég neve. (Magánszemély esetén, személynév.) Min: 2, max: 50 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ucc_ceg_cim_iranyito,varchar(10),IGEN,A címzett címének irányítószáma. 4 szám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ucc_ceg_cim_telepules,varchar(40),IGEN,"A címzett címének településneve. Min: 2, max: 40 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ucc_ceg_cim_orszag,varchar(3),IGEN,A címzett címének országkódja. Magyarország esetén 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ucc_ceg_cim_kozterulet,varchar(60),IGEN,"A címzett címének közterület elnevezése, házszáma, lépcsőház, emelet, ajtó és egyéb meghatározásai. Min: 2, max: 60 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ucc_ceg_cim_megjegyzes,varchar(100),NEM,"A címzett címéhez tartozó megjegyzés. Kitöltés esetén min: 2, max: 100 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ucc_ceg_adoszam,varchar(27),NEM,A címzett cég adószáma. Kitöltés esetén 13 karakter [12345678-1-12] vagy csoportos adószám esetén 27 karakter [12345678-4-12 87654321-5-12] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,szl_12h,int(1),IGEN,"Értékek: [0] = másnapi 24H szállítás esetén, [1] = másnapi 12H 12 óráig garantált szállítás esetén",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,szl_okmany,int(1),IGEN,"Értékek: [0] = okmány visszaforgatás nélkül, [1] = okmányvisszaforgatással. Amennyiben az érték [1] az szl_okmanyok mező kitöltése kötelező.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,szl_okmanyok,varchar(30),NEM,"Kitöltése kötelező, amennyiben az szl_okmany értéke [1], kitöltés esetén min: 2, max: 30 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,szl_sms,int(1),IGEN,"Értékek: [0] = SMS értesítés nélkül, [1] = SMS értesítés, [2] = Az ügyfélfelületen beállított alapértlmezett érték szerint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,szl_visszaru,int(1),IGEN,"Értékek: [0] = nem kell visszárut felvenni, [1] = a kiszállítás alkalmával visszáru küldeményt kell felvenni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,szl_csomagszam,Int(2),IGEN,"Az egy küldeményhez tartozó csomagok darabszáma. Pozitív egész szám, 1 <= X <=99",,,,,,,,"FONTOS! Az ”szl_csomagok” JSON-ban kódolt többen, a [db] összértéke meg kell egyezzen az ”szl_csomagszam” értékével.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,szl_csomag_suly,float,IGEN,"Az egy küldeményhez tartozó összes csomag súlya. Pozitív tizedes szám 0,01 <= X ",,,,,,,,"FONTOS! Az ”szl_csomagok” JSON-ban kódolt többen, a [suly] összértéke meg kell egyezzen az ”szl_csomag_suly” értékével.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,szl_csomagok,JSON,IGEN,"JSON kodolással csomagonként 1-től indexelt többben kell megadni a csomagadatokat. pl.: egy 1 kg-os csomag 20x15x10cm-es dobozban: csomagok[1][db]=1; csomagok[1][suly]=1; csomagok[1][hosszusag]=20; csomagok[1][szelesseg]=15; csomagok[1][magassag]=10; csomagok[1][tipus]=doboz;JSON: {""1"":{""db"":1,""suly"":""1"",""hosszusag"":20,""szelesseg"":15,""magassag"":10,""tipus"":""doboz""}}",,,,,,,,FONTOS! A JSON-ban kódolt többen a [db] összértéke meg kell egyezzen az ”szl_csomagszam” értékével valamint a [suly] összértékének az ”szl_csomag_suly” értékével.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,szl_raklapos,int(1),IGEN,"Értékek: [0] = nem raklapos, [1] = raklapos szállítás",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,szl_tartalom,varchar(40),NEM,"A küldemény tartalma. Kitöltés esetén min: 2, max: 40 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,szl_biztositas,int(1),IGEN,"Értékek: [0] = nincs értékbiztosítás, [1] = értékbiztosítással. Amennyiben az érték [1] az szl_aruertek mező kitöltése kötelező.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,szl_aruertek,Int(6),NEM,"A küldemény biztosítási értéke forintban megadva. Kitöltése kötelező, amennyiben az szl_biztositas értéke [1], kitöltés esetén az érték 1 <= X <= 500000 pozitív egész szám.",,,,,,,,FONTOS! Az értékbiztosítás kizárólag az szl_biztositas mezőben megadott [1] értékkel kérhető.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,szl_utanvet,Int(7),IGEN,"A küldemény kiszállításakor készpénzben beszedendő forint összeg, amit a PXP feladó részére juttatt vissza. Értéke 0 (nulla) vagy 1 <= X <= 1000000 pozitív egész szám.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,szl_ekaer_szam,varchar(20),NEM,"Az EKÁER köteles küldemény EKÁER száma. Kitöltés esetén min: 2, max: 20 karakter és az szl_ekaer_email mező kitöltése kötelező.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,szl_ekaer_email,varchar(50),NEM,"Az EKÁER köteles küldemény rendszámváltozásainak megküldésére rögzített emailcím. Kitöltés esetén min: 6, max: 50 karakter és az szl_ekaer_szam mező kitöltése kötelező.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,szl_koltseghely,varchar(30),NEM,"A számlamellékleten megjelenő költséghely. Kitöltés esetén min: 2, max: 30 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,szl_referenciaszam,varchar(50),NEM,"A küldemény címkéjén megjelenő referenciaszám. Kitöltés esetén min: 2, max: 50 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,szl_koltsegviselo,int(1),IGEN,"Értékek: [0] = feladó fizet átutalással, [1] = címzett fizet készpénzben, [2] = címzett fizet készpénzben, a szállítási díj számlája a harmadikfél adatok alapján kerül kiállításra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,szl_adoszam,varchar(27),NEM,A költségviselő cég adószáma. Kitöltés esetén 13 karakter [12345678-1-12] vagy csoportos adószám esetén 27 karakter [12345678-4-12 87654321-5-12],,,,,,,,FONTOS! Amennyiben az szl_maganszemely értéke [0] a kitöltés kötelező.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,szl_maganszemely,int(1),IGEN,"Értékek: [0] = a költségviselő cég, [1] = a költségviselő magánszemély",,,,,,,,"FONTOS! Amennyiben az értéke [0], az szl_adoszam kitöltése kötelező.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ucch_ugyfelkod,varchar(4),NEM,"ha szl_koltsegviselo értéke [2], kitöltése nem kötelező, kitöltés esetén érvényes PXP ügyfélkód [MINT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ucch_nev,varchar(30),NEM,"ha szl_koltsegviselo értéke [2], kitöltése nem kötelező, de kitöltés esetén min: 2, max: 30 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ucch_tel,varchar(20),NEM,"ha szl_koltsegviselo értéke [2], kitöltése nem kötelező, de kitöltés esetén min: 6, max: 20 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ucch_email,varchar(50),NEM,"ha szl_koltsegviselo értéke [2], kitöltése nem kötelező, de kitöltés esetén min: 6, max: 50 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ucch_ceg_nev,varchar(50),NEM,"ha szl_koltsegviselo értéke [2], kitöltése kötelező, min: 2, max: 50 karakter",,,,,,,,"ha szl_koltsegviselo értéke [2], a szállítási díj számlája az itt megadott értékkel kerül kiállításra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ucch_ceg_cim_iranyito,varchar(4),NEM,"ha szl_koltsegviselo értéke [2], kitöltése kötelező, 4 szám",,,,,,,,"ha szl_koltsegviselo értéke [2], a szállítási díj számlája az itt megadott értékkel kerül kiállításra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ucch_ceg_cim_telepules,varchar(40),NEM,"ha szl_koltsegviselo értéke [2], kitöltése kötelező, min: 2, max: 40 karakter",,,,,,,,"ha szl_koltsegviselo értéke [2], a szállítási díj számlája az itt megadott értékkel kerül kiállításra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ucch_ceg_cim_orszag,varchar(2),NEM,"ha szl_koltsegviselo értéke [2], kitöltése kötelező, Magyarország esetén 36",,,,,,,,"ha szl_koltsegviselo értéke [2], a szállítási díj számlája az itt megadott értékkel kerül kiállításra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ucch_ceg_cim_kozterulet,varchar(60),NEM,"ha szl_koltsegviselo értéke [2], kitöltése kötelező, min: 2, max: 60 karakter",,,,,,,,"ha szl_koltsegviselo értéke [2], a szállítási díj számlája az itt megadott értékkel kerül kiállításra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ucch_ceg_cim_megjegyzes,varchar(100),NEM,"ha szl_koltsegviselo értéke [2], kitöltése nem kötelező, min: 2, max: 100 karakter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ucch_ceg_adoszam,varchar(27),NEM,"ha szl_koltsegviselo értéke [2], kitöltése nem kötelező,  kitöltés esetén 13 karakter [12345678-1-12] vagy csoportos adószám esetén 27 karakter [12345678-4-12 87654321-5-12] ",,,,,,,,"ha szl_koltsegviselo értéke [2], a szállítási díj számlája az itt megadott értékkel kerül kiállításra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
